Entity ID,API/UWI,API/UWI List,Production Date,Liquid (bbl),Gas (mcf),Water (bbl),Well Count,Days
128149938,35051235730000,350512357300,2012-03-01,719,3,0,1,0
128149938,35051235730000,350512357300,2012-04-01,1093,728,0,1,0
128149938,35051235730000,350512357300,2012-05-01,538,814,0,1,0
128149938,35051235730000,350512357300,2012-06-01,2626,7572,0,1,0
128149938,35051235730000,350512357300,2012-07-01,2492,9713,0,1,0
128149938,35051235730000,350512357300,2012-08-01,1953,8706,0,1,0
128149938,35051235730000,350512357300,2012-09-01,1626,7728,0,1,0
128149938,35051235730000,350512357300,2012-10-01,1446,7096,0,1,0
128149938,35051235730000,350512357300,2012-11-01,761,3863,0,1,0
128149938,35051235730000,350512357300,2012-12-01,732,3074,0,1,0
128149938,35051235730000,350512357300,2013-01-01,749,2577,0,1,0
128149938,35051235730000,350512357300,2013-02-01,940,2671,0,1,0
128149938,35051235730000,350512357300,2013-03-01,769,2893,0,1,0
128149938,35051235730000,350512357300,2013-04-01,759,2485,0,1,0
128149938,35051235730000,350512357300,2013-05-01,561,1526,0,1,0
128149938,35051235730000,350512357300,2013-06-01,762,2380,0,1,0
128149938,35051235730000,350512357300,2013-07-01,541,2413,0,1,0
128149938,35051235730000,350512357300,2013-08-01,533,1890,0,1,0
128149938,35051235730000,350512357300,2013-09-01,577,1173,0,1,0
128149938,35051235730000,350512357300,2013-10-01,758,2155,0,1,0
128149938,35051235730000,350512357300,2013-11-01,366,2168,0,1,0
128149938,35051235730000,350512357300,2013-12-01,715,2175,0,1,0
128149938,35051235730000,350512357300,2014-01-01,569,1986,0,1,0
128149938,35051235730000,350512357300,2014-02-01,154,1370,0,1,0
128149938,35051235730000,350512357300,2014-03-01,0,1526,0,1,0
128149938,35051235730000,350512357300,2014-04-01,0,1474,0,1,0
128149938,35051235730000,350512357300,2014-05-01,0,1325,0,1,0
128149938,35051235730000,350512357300,2014-06-01,0,947,0,1,0
128149938,35051235730000,350512357300,2014-07-01,0,1027,0,1,0
128149938,35051235730000,350512357300,2014-10-01,891,2098,0,1,
128149938,35051235730000,350512357300,2014-11-01,346,1384,0,1,0
128149938,35051235730000,350512357300,2014-12-01,175,835,0,1,
128149938,35051235730000,350512357300,2015-01-01,377,221,0,1,0
128149938,35051235730000,350512357300,2015-02-01,182,110,0,1,0
128149938,35051235730000,350512357300,2015-03-01,179,7,0,1,
128149938,35051235730000,350512357300,2015-04-01,358,0,0,1,0
128149938,35051235730000,350512357300,2015-05-01,359,407,0,1,0
128149938,35051235730000,350512357300,2015-06-01,175,663,0,1,
128149938,35051235730000,350512357300,2015-07-01,533,1107,0,1,0
128149938,35051235730000,350512357300,2015-08-01,171,1065,0,1,
128149938,35051235730000,350512357300,2015-09-01,355,388,0,1,0
128149938,35051235730000,350512357300,2015-10-01,179,272,0,1,
128149938,35051235730000,350512357300,2015-11-01,352,728,0,1,0
128149938,35051235730000,350512357300,2015-12-01,357,0,0,1,0
128149938,35051235730000,350512357300,2016-01-01,179,704,0,1,
128149938,35051235730000,350512357300,2016-02-01,359,976,0,1,
128149938,35051235730000,350512357300,2016-03-01,175,98,0,1,
128149938,35051235730000,350512357300,2016-04-01,353,1041,0,1,
128149938,35051235730000,350512357300,2016-05-01,178,1023,0,1,
128149938,35051235730000,350512357300,2016-06-01,174,845,0,1,
128149938,35051235730000,350512357300,2016-07-01,180,1015,0,1,
128149938,35051235730000,350512357300,2016-08-01,350,960,0,1,
128149938,35051235730000,350512357300,2016-09-01,177,860,0,1,
128149938,35051235730000,350512357300,2016-10-01,354,837,0,1,
128149938,35051235730000,350512357300,2016-11-01,178,831,0,1,
128149938,35051235730000,350512357300,2016-12-01,179,898,0,1,
128149938,35051235730000,350512357300,2017-01-01,180,526,0,1,
128149938,35051235730000,350512357300,2017-02-01,359,0,0,1,
128149938,35051235730000,350512357300,2017-03-01,178,0,0,1,
128149938,35051235730000,350512357300,2017-04-01,179,517,0,1,
128149938,35051235730000,350512357300,2017-05-01,359,0,0,1,
128149938,35051235730000,350512357300,2017-06-01,178,0,0,1,
128149938,35051235730000,350512357300,2017-07-01,177,0,0,1,
128149938,35051235730000,350512357300,2017-08-01,125,0,0,1,
128149938,35051235730000,350512357300,2017-09-01,343,0,0,1,
128149938,35051235730000,350512357300,2017-10-01,177,0,0,1,
128149938,35051235730000,350512357300,2017-11-01,188,0,0,1,
123995547,35051234830000,350512348300,2009-01-01,839,0,0,1,0
123995547,35051234830000,350512348300,2009-02-01,951,0,0,1,0
123995547,35051234830000,350512348300,2009-03-01,1402,0,0,1,0
123995547,35051234830000,350512348300,2009-04-01,713,2996,0,1,0
123995547,35051234830000,350512348300,2009-05-01,867,1041,0,1,0
123995547,35051234830000,350512348300,2009-06-01,1047,4055,0,1,0
123995547,35051234830000,350512348300,2009-07-01,890,4514,0,1,0
123995547,35051234830000,350512348300,2009-08-01,1072,4653,0,1,0
123995547,35051234830000,350512348300,2009-09-01,858,2874,0,1,0
123995547,35051234830000,350512348300,2009-10-01,491,1237,0,1,0
123995547,35051234830000,350512348300,2009-11-01,710,4015,0,1,0
123995547,35051234830000,350512348300,2009-12-01,180,665,0,1,0
123995547,35051234830000,350512348300,2010-01-01,881,8954,0,1,0
123995547,35051234830000,350512348300,2010-02-01,1436,7359,0,1,0
123995547,35051234830000,350512348300,2010-03-01,899,7013,0,1,0
123995547,35051234830000,350512348300,2010-04-01,705,6120,0,1,0
123995547,35051234830000,350512348300,2010-05-01,704,7428,0,1,0
123995547,35051234830000,350512348300,2010-06-01,696,6220,0,1,0
123995547,35051234830000,350512348300,2010-07-01,695,5016,0,1,0
123995547,35051234830000,350512348300,2010-08-01,699,4801,0,1,0
123995547,35051234830000,350512348300,2010-09-01,673,4448,0,1,0
123995547,35051234830000,350512348300,2010-10-01,535,4390,0,1,0
123995547,35051234830000,350512348300,2010-11-01,714,4110,0,1,0
123995547,35051234830000,350512348300,2010-12-01,540,4223,0,1,0
123995547,35051234830000,350512348300,2011-01-01,542,3795,0,1,0
123995547,35051234830000,350512348300,2011-02-01,525,3795,0,1,0
123995547,35051234830000,350512348300,2011-03-01,540,3389,0,1,0
123995547,35051234830000,350512348300,2011-04-01,540,4172,0,1,0
123995547,35051234830000,350512348300,2011-05-01,540,5107,0,1,0
123995547,35051234830000,350512348300,2011-06-01,353,4335,0,1,0
123995547,35051234830000,350512348300,2011-07-01,532,3944,0,1,0
123995547,35051234830000,350512348300,2011-08-01,356,3820,0,1,0
123995547,35051234830000,350512348300,2011-09-01,537,3859,0,1,0
123995547,35051234830000,350512348300,2011-10-01,360,5890,0,1,0
123995547,35051234830000,350512348300,2011-11-01,361,4859,0,1,0
123995547,35051234830000,350512348300,2011-12-01,548,5467,0,1,0
123995547,35051234830000,350512348300,2012-01-01,365,3615,0,1,0
123995547,35051234830000,350512348300,2012-02-01,362,4082,0,1,0
123995547,35051234830000,350512348300,2012-03-01,335,4528,0,1,0
123995547,35051234830000,350512348300,2012-04-01,508,5288,0,1,0
123995547,35051234830000,350512348300,2012-05-01,342,4699,0,1,0
123995547,35051234830000,350512348300,2012-06-01,339,5028,0,1,0
123995547,35051234830000,350512348300,2012-07-01,349,4576,0,1,0
123995547,35051234830000,350512348300,2012-08-01,351,4291,0,1,0
123995547,35051234830000,350512348300,2012-09-01,343,4911,0,1,0
123995547,35051234830000,350512348300,2012-10-01,352,4911,0,1,0
123995547,35051234830000,350512348300,2012-11-01,174,3515,0,1,0
123995547,35051234830000,350512348300,2012-12-01,364,2987,0,1,0
123995547,35051234830000,350512348300,2013-01-01,352,5807,0,1,0
123995547,35051234830000,350512348300,2013-02-01,185,5770,0,1,0
123995547,35051234830000,350512348300,2013-03-01,373,5226,0,1,0
123995547,35051234830000,350512348300,2013-04-01,181,5063,0,1,0
123995547,35051234830000,350512348300,2013-05-01,179,3870,0,1,0
123995547,35051234830000,350512348300,2013-06-01,169,0,0,1,0
123995547,35051234830000,350512348300,2013-07-01,365,1906,0,1,0
123995547,35051234830000,350512348300,2013-08-01,164,1098,0,1,0
123995547,35051234830000,350512348300,2013-09-01,348,3314,0,1,0
123995547,35051234830000,350512348300,2013-10-01,191,2559,0,1,0
123995547,35051234830000,350512348300,2013-11-01,148,2118,0,1,0
123995547,35051234830000,350512348300,2013-12-01,168,0,0,1,0
123995547,35051234830000,350512348300,2014-01-01,0,251,0,1,
123995547,35051234830000,350512348300,2014-02-01,279,251,0,1,0
123995547,35051234830000,350512348300,2014-03-01,0,251,0,1,0
