"API14","Well Name","Well Number","Lease Name","Operator Alias","Reported Operator","Field","County/Parish","KB Elevation","Ground Elevation","Measured Depth (TD)","True Vertical Depth","Production Type","Well Status","Target Formation","Spud Date","Completion Date","Drill Type","Upper Perforation","Lower Perforation","Perforated Interval Length","Horizontal Length","First Prod Date","Start Date (First Treatment Job)","End Date (First Treatment Job)","First Test Gas Volume","First Test Oil Volume","First Test Water Volume","First Test Hours Tested","First Test Production Method","First Well Test Date","First Reported Test Type","Last Well Test Date","Last Test Type","First Test Gas Gravity","First Test Oil Gravity","First Test GOR","First Test Casing Pressure","First Test Choke Size","First Test Flowing Tubing Pressure","Peak BOE","Peak Gas","Peak Oil","Cum BOE","Cum Gas","Cum Oil","Cum Water","First 6 BOE","First 6 Gas","First 6 Oil","First 6 Water","First 12 BOE","First 12 Gas","First 12 Oil","First 12 Water","First 24 BOE","First 24 Gas","First 24 Oil","First 24 Water","First 60 BOE","First 60 Gas","First 60 Oil","First 60 Water","Has Digitized Trajectory (Y/N)","Has Well Log (LAS) (Y/N)","Has Well Log (Raster) (Y/N)","LAS Mnemonics","Country","Basin","Play Assessment Basin","State","Section","Township","Range","Quarter Quarter","District","Abstract","Block","Survey","Surface Hole Latitude (WGS84)","Surface Hole Longitude (WGS84)","Bottom Hole Latitude (WGS84)","Bottom Hole Longitude (WGS84)","UWI"
"35051235880000","MILLS","1-21H","MILLS","CONTINENTAL RESOURCES","CONTINENTAL RESOURCES, INC.","UNKNOWN","GRADY (OK)","","1155.00","16400.00","11548.00","OIL","ACTIVE","WOODFORD","2012-03-03","2012-06-04","H","12062.00","16273.00","4211.00","4338.00","2012-06-01","2012-05-29","","1033.00","324.00","595.00","24.00","Flowing","2012-06-24","InitialPotentialTest","2012-06-24","InitialPotentialTest","","45.46","3188.00","","32/64","","16122.00","34339.00","10399.00","288471.00","749458.00","163561.00","0.00","68412.00","144593.00","44313.00","0.00","118037.00","262974.00","74208.00","0.00","179823.00","456527.00","103735.00","0.00","280580.00","738781.00","157450.00","0.00","true","false","true","","USA","ANADARKO BASIN","","OK","21","=""07N""","=""05W""","SE SW SW","","","","","35.0593550","-97.7375990","","","35-051-23588"
"35051237130000","BRANNAN","1-34-27XH","BRANNAN","CONTINENTAL RESOURCES","CONTINENTAL RESOURCES, INC.","UNKNOWN","GRADY (OK)","","1197.00","22356.00","11824.00","OIL","ACTIVE","WOODFORD","2013-10-29","2014-02-19","H","12700.00","22219.00","9519.00","9656.00","2014-03-01","2014-02-12","2014-02-12","635.00","307.00","3000.00","24.00","Flowing","2014-03-10","InitialPotentialTest","2014-03-10","InitialPotentialTest","","","2068.00","","34/64","","15590.00","28828.00","10825.00","245590.00","502216.00","161887.00","0.00","68306.00","109728.00","50018.00","0.00","115337.00","218219.00","78967.00","0.00","177963.00","357984.00","118299.00","0.00","","","","","true","false","true","","USA","ANADARKO BASIN","","OK","34","=""08N""","=""06W""","SE SW SE","","","","","35.1172412","-97.8160469","","","35-051-23713"
"35051237580000","RODGERS","1-11-2XH","RODGERS","CONTINENTAL RESOURCES","CONTINENTAL RESOURCES, INC.","UNKNOWN","GRADY (OK)","","1179.00","21580.00","11384.00","OIL","ACTIVE","WOODFORD","2014-01-18","2014-06-20","H","11861.00","21387.00","9526.00","9719.00","2014-06-01","2014-05-09","2014-06-05","308.00","282.00","","24.00","Flowing","2014-07-06","InitialPotentialTest","2014-07-06","InitialPotentialTest","","45.00","1092.00","","64/64","995.00","13953.00","14935.00","12005.00","337311.00","293749.00","288353.00","0.00","51013.00","61967.00","40685.00","0.00","99256.00","104302.00","81872.00","0.00","204292.00","188752.00","172833.00","0.00","","","","","true","false","false","","USA","ANADARKO BASIN","","OK","11","=""06N""","=""05W""","SE SE SE","","","","","35.0012893","-97.6896079","","","35-051-23758"
"35051237800000","COPELAND","1-36H","COPELAND","CONTINENTAL RESOURCES","CONTINENTAL RESOURCES, INC.","UNKNOWN","GRADY (OK)","","1161.00","17395.00","12112.00","OIL","ACTIVE","WOODFORD","2014-05-02","2014-08-10","H","12480.00","17252.00","4772.00","4915.00","2014-08-01","2014-08-04","2014-08-09","299.00","148.00","1404.00","","","2014-08-27","InitialPotentialTest","2014-08-27","InitialPotentialTest","","46.00","2020.00","","1.000","","9830.00","26578.00","5400.00","145689.00","398396.00","79290.00","0.00","30222.00","89724.00","15268.00","0.00","60223.00","164020.00","32886.00","0.00","105186.00","284749.00","57728.00","0.00","","","","","true","false","true","","USA","ANADARKO BASIN","","OK","36","=""06N""","=""05W""","SE SW SW","","","","","34.9429793","-97.6853801","","","35-051-23780"
"35051238370000","GOOD MARTIN","6-10-3XH","GOOD MARTIN","CONTINENTAL RESOURCES","CONTINENTAL RESOURCES, INC.","UNKNOWN","GRADY (OK)","","1194.00","20170.00","11828.00","OIL","ACTIVE","WOODFORD","2014-08-16","2015-01-11","H","12401.00","20073.00","7672.00","7769.00","2015-01-01","2014-11-07","2014-11-19","163.00","162.00","1373.00","24.00","Unknown","2015-01-27","InitialPotentialTest","2015-01-27","InitialPotentialTest","","42.00","1006.00","","64/64","80.00","15259.00","33780.00","12130.00","193275.00","521890.00","106293.00","0.00","59613.00","96792.00","43481.00","0.00","107674.00","228871.00","69529.00","0.00","166027.00","427913.00","94708.00","0.00","","","","","true","false","true","","USA","ANADARKO BASIN","","OK","15","=""06N""","=""05W""","NW NW NE","","","","","34.9998052","-97.7133590","","","35-051-23837"
"35051238600000","ELLIS 14-4-6","2XH","ELLIS 14-4-6","APACHE","APACHE CORPORATION","CHITWOOD","GRADY (OK)","","1192.00","23314.00","15034.00","OIL","ACTIVE","WOODFORD","2014-10-19","2015-07-29","H","16050.00","23198.00","7148.00","7678.00","2015-08-01","2015-07-01","2015-07-08","3814.00","402.00","2146.00","24.00","Flowing","2015-08-14","InitialPotentialTest","2015-08-14","InitialPotentialTest","","","9488.00","","26","","6594.00","1207.00","6594.00","96809.00","2353.00","96417.00","0.00","36795.00","0.00","36795.00","0.00","52201.00","0.00","52201.00","0.00","89614.00","1207.00","89413.00","0.00","","","","","true","false","false","","USA","ANADARKO BASIN","Mid-Continent","OK","14","=""04N""","=""06W""","NW NE SE","","","","","34.8182103","-97.7941150","","","35-051-23860"
"35051238610000","ELLIS 14-4-6","1XH","ELLIS 14-4-6","APACHE","APACHE CORPORATION","CHITWOOD","GRADY (OK)","","1191.00","20745.00","15130.00","OIL","ACTIVE","WOODFORD","2014-11-29","2015-07-30","H","15950.00","20356.00","4406.00","7798.00","2015-08-01","2015-07-01","2015-07-08","3037.00","372.00","1908.00","24.00","Flowing","2015-08-13","InitialPotentialTest","2015-08-13","InitialPotentialTest","","59.90","8164.00","","24","","38162.00","198109.00","6517.00","437461.00","1957499.00","111211.00","0.00","172535.00","813528.00","36947.00","0.00","241113.00","1119072.00","54601.00","0.00","416342.00","1896035.00","100336.00","0.00","","","","","true","false","false","","USA","ANADARKO BASIN","","OK","14","=""04N""","=""06W""","NW NE SE","","","","","34.8182103","-97.7940463","","","35-051-23861"
"35051238910000","MCCLAIN","1H-7X","MCCLAIN","NEWFIELD EXPL","NEWFIELD EXPLORATION MID-CONTINENT, INC","UNKNOWN","GRADY (OK)","","1164.00","20267.00","11918.00","OIL","ACTIVE","WOODFORD","2014-11-18","2015-02-13","H","12200.00","20107.00","7907.00","7855.00","2015-02-01","2015-01-19","2015-02-06","509.00","843.00","650.00","24.00","Flowing","2015-03-22","InitialPotentialTest","2015-03-22","InitialPotentialTest","","47.30","604.00","","36","189.00","9369.00","28003.00","8006.00","143565.00","247310.00","102347.00","0.00","40235.00","43175.00","33039.00","0.00","67292.00","88391.00","52560.00","0.00","120289.00","212479.00","84876.00","0.00","","","","","true","false","false","","USA","ANADARKO BASIN","","OK","18","=""07N""","=""05W""","NE NW SW","","","","","35.0739838","-97.7734811","","","35-051-23891"
"35051239310000","COOLEY","1-24H","COOLEY","CONTINENTAL RESOURCES","CONTINENTAL RESOURCES, INC.","UNKNOWN","GRADY (OK)","","1137.00","16920.00","11696.00","OIL","ACTIVE","WOODFORD","2015-03-18","2015-06-23","H","11867.00","16775.00","4908.00","5053.00","2015-06-01","2015-06-18","2015-06-18","648.00","426.00","333.00","24.00","Pumping","2015-07-13","InitialPotentialTest","2015-07-13","InitialPotentialTest","","45.80","1521.00","","64/64","","13652.00","20075.00","10687.00","269584.00","389009.00","204749.00","0.00","59359.00","84188.00","45328.00","0.00","126945.00","178948.00","97120.00","0.00","237677.00","364409.00","176942.00","0.00","","","","","true","false","false","","USA","ANADARKO BASIN","","OK","25","=""06N""","=""05W""","NE NW NE","","","","","34.9708336","-97.6768278","","","35-051-23931"
"35051240190000","ANDERSON","1H-28","ANDERSON","CITIZEN ENERGY","CITIZEN ENERGY II LLC","TUTTLE EAST","GRADY (OK)","","1285.00","15000.00","9261.00","OIL","ACTIVE","WOODFORD","2016-03-27","2016-05-23","H","9946.00","14895.00","4949.00","5664.00","2016-06-01","","2016-05-23","1169.00","424.00","1195.00","24.00","Unknown","2016-07-09","InitialPotentialTest","2016-07-09","InitialPotentialTest","","40.00","2757.00","","64/64","391.00","17093.00","45879.00","10806.00","154270.00","539697.00","64321.00","0.00","77905.00","226491.00","40157.00","0.00","134157.00","436966.00","61329.00","0.00","","","","","","","","","true","false","false","","USA","ANADARKO BASIN","","OK","33","10N","=""05W""","NW NW NW","","","","","35.3046119","-97.7394937","","","35-051-24019"
